ID,NAME_CAP,NAME,SHINY,LUCKY,JILLIAN
638,COBALION,cobalion,Y,,Y
639,TERRAKION,terrakion,Y,,Y
640,VIRIZION,virizion,Y,,Y
641,TORNADUS,tornadus,,,Y
642,THUNDURUS,thundurus,Y,,Y
643,RESHIRAM,reshiram,Y,,Y
644,ZEKROM,zekrom,Y,,Y
645,LANDORUS,landorus,Y,,Y
646,KYUREM,kyurem,Y,,Y
647,KELDEO,keldeo,Y,,Y
648,MELOETTA,meloetta,Y,,Y
649,GENESECT,genesect,Y,,Y
650,CHESPIN,chespin,Y,,Y
651,QUILLADIN,quilladin,Y,,Y
652,CHESNAUGHT,chesnaught,Y,,Y
653,FENNEKIN,fennekin,Y,,Y
654,BRAIXEN,braixen,Y,,Y
655,DELPHOX,delphox,Y,,Y
656,FROAKIE,froakie,Y,,Y
657,FROGADIER,frogadier,Y,,Y
658,GRENINJA,greninja,Y,,Y
659,BUNNELBY,bunnelby,Y,,Y
660,DIGGERSBY,diggersby,Y,,Y
661,FLETCHLING,fletchling,Y,,Y
662,FLETCHINDER,fletchinder,Y,,Y
663,TALONFLAME,talonflame,Y,,Y
664,SCATTERBUG,scatterbug,Y,,Y
665,SPEWPA,spewpa,Y,,Y
666,VIVILLON,vivillon,,,Y
667,LITLEO,litleo,Y,,Y
668,PYROAR,pyroar,Y,,Y
669,FLABéBé,flabébé,Y,,Y
670,FLOETTE,floette,Y,,Y
671,FLORGES,florges,Y,,Y
672,SKIDDO,skiddo,,,Y
673,GOGOAT,gogoat,,,Y
674,PANCHAM,pancham,Y,,Y
675,PANGORO,pangoro,Y,,Y
676,FURFROU,furfrou,Y,,Y
677,ESPURR,espurr,Y,,Y
678,MEOWSTIC,meowstic,Y,,Y
679,HONEDGE,honedge,,,Y
680,DOUBLADE,doublade,,,Y
681,AEGISLASH,aegislash,,,Y
682,SPRITZEE,spritzee,Y,,Y
683,AROMATISSE,aromatisse,Y,,Y
684,SWIRLIX,swirlix,Y,,Y
685,SLURPUFF,slurpuff,,,Y
686,INKAY,inkay,Y,,Y
687,MALAMAR,malamar,Y,,Y
688,BINACLE,binacle,Y,,Y
689,BARBARACLE,barbaracle,Y,,Y
690,SKRELP,skrelp,Y,,Y
691,DRAGALGE,dragalge,Y,,Y
692,CLAUNCHER,clauncher,,,Y
693,CLAWITZER,clawitzer,,,Y
694,HELIOPTILE,helioptile,Y,,Y
695,HELIOLISK,heliolisk,Y,,Y
696,TYRUNT,tyrunt,Y,,Y
697,TYRANTRUM,tyrantrum,Y,,Y
698,AMAURA,amaura,Y,,Y
699,AURORUS,aurorus,Y,,Y
700,SYLVEON,sylveon,Y,,Y
701,HAWLUCHA,hawlucha,,,Y
702,DEDENNE,dedenne,Y,,Y
703,CARBINK,carbink,Y,,Y
704,GOOMY,goomy,Y,,Y
705,SLIGGOO,sliggoo,Y,,Y
706,GOODRA,goodra,Y,,Y
707,KLEFKI,klefki,,,Y
708,PHANTUMP,phantump,Y,,Y
709,TREVENANT,trevenant,Y,,Y
710,PUMPKABOO,pumpkaboo,Y,,Y
711,GOURGEIST,gourgeist,Y,,Y
712,BERGMITE,bergmite,Y,,Y
713,AVALUGG,avalugg,Y,,Y
714,NOIBAT,noibat,Y,,Y
715,NOIVERN,noivern,Y,,Y
716,XERNEAS,xerneas,Y,,Y
717,YVELTAL,yveltal,Y,,Y
718,ZYGARDE,zygarde,,,Y
719,DIANCIE,diancie,,,Y
720,HOOPA,hoopa,,,Y
721,VOLCANION,volcanion,,,Y
722,ROWLET,rowlet,Y,,Y
723,DARTRIX,dartrix,Y,,Y
724,DECIDUEYE,decidueye,Y,,Y
725,LITTEN,litten,Y,,Y
726,TORRACAT,torracat,Y,,Y
727,INCINEROAR,incineroar,Y,,Y
728,POPPLIO,popplio,Y,,Y
729,BRIONNE,brionne,Y,,Y
730,PRIMARINA,primarina,Y,,Y
731,PIKIPEK,pikipek,Y,,Y
732,TRUMBEAK,trumbeak,Y,,Y
733,TOUCANNON,toucannon,Y,,Y
734,YUNGOOS,yungoos,Y,,Y
735,GUMSHOOS,gumshoos,Y,,Y
736,GRUBBIN,grubbin,Y,,Y
737,CHARJABUG,charjabug,Y,,Y
738,VIKAVOLT,vikavolt,Y,,Y
739,CRABRAWLER,crabrawler,,,Y
740,CRABOMINABLE,crabominable,,,Y
741,ORICORIO,oricorio,Y,,Y
742,CUTIEFLY,cutiefly,Y,,Y
743,RIBOMBEE,ribombee,Y,,Y
744,ROCKRUFF,rockruff,Y,,Y
745,LYCANROC,lycanroc,,,Y
746,WISHIWASHI,wishiwashi,,,Y
747,MAREANIE,mareanie,Y,,Y
748,TOXAPEX,toxapex,Y,,Y
749,MUDBRAY,mudbray,Y,,Y
750,MUDSDALE,mudsdale,Y,,Y
751,DEWPIDER,dewpider,Y,,Y
752,ARAQUANID,araquanid,Y,,Y
753,FOMANTIS,fomantis,Y,,Y
754,LURANTIS,lurantis,Y,,Y
755,MORELULL,morelull,Y,,Y
756,SHIINOTIC,shiinotic,Y,,Y
757,SALANDIT,salandit,,,Y
758,SALAZZLE,salazzle,,,Y
759,STUFFUL,stufful,Y,,Y
760,BEWEAR,bewear,Y,,Y
761,BOUNSWEET,bounsweet,Y,,Y
762,STEENEE,steenee,Y,,Y
763,TSAREENA,tsareena,Y,,Y
764,COMFEY,comfey,,,Y
765,ORANGURU,oranguru,Y,,Y
766,PASSIMIAN,passimian,Y,,Y
767,WIMPOD,wimpod,Y,,Y
768,GOLISOPOD,golisopod,Y,,Y
769,SANDYGAST,sandygast,,,Y
770,PALOSSAND,palossand,,,Y
771,PYUKUMUKU,pyukumuku,,,Y
772,TYPE: NULL,type: null,,,Y
773,SILVALLY,silvally,,,Y
774,MINIOR,minior,,,Y
775,KOMALA,komala,,,Y
776,TURTONATOR,turtonator,Y,,Y
777,TOGEDEMARU,togedemaru,Y,,Y
778,MIMIKYU,mimikyu,,,Y
779,BRUXISH,bruxish,Y,,Y
780,DRAMPA,drampa,,,Y
781,DHELMISE,dhelmise,Y,,Y
782,JANGMO-O,jangmo-o,Y,,Y
783,HAKAMO-O,hakamo-o,Y,,Y
784,KOMMO-O,kommo-o,Y,,Y
785,TAPU KOKO,tapu koko,,,Y
786,TAPU LELE,tapu lele,,,Y
787,TAPU BULU,tapu bulu,,,Y
788,TAPU FINI,tapu fini,Y,,Y
789,COSMOG,cosmog,,,Y
790,COSMOEM,cosmoem,,,Y
791,SOLGALEO,solgaleo,Y,,Y
792,LUNALA,lunala,,,Y
793,NIHILEGO,nihilego,Y,,Y
794,BUZZWOLE,buzzwole,Y,,Y
795,PHEROMOSA,pheromosa,,,Y
796,XURKITREE,xurkitree,,,Y
797,CELESTEELA,celesteela,,,Y
798,KARTANA,kartana,Y,,Y
799,GUZZLORD,guzzlord,Y,,Y
800,NECROZMA,necrozma,Y,,Y
801,MAGEARNA,magearna,,,Y
802,MARSHADOW,marshadow,,,Y
803,POIPOLE,poipole,,,Y
804,NAGANADEL,naganadel,,,Y
805,STAKATAKA,stakataka,,,Y
806,BLACEPHALON,blacephalon,,,Y
807,ZERAORA,zeraora,,,Y
808,MELTAN,meltan,Y,,Y
809,MELMETAL,melmetal,Y,,Y
810,GROOKEY,grookey,Y,,Y
811,THWACKEY,thwackey,Y,,Y
812,RILLABOOM,rillaboom,Y,,Y
813,SCORBUNNY,scorbunny,Y,,Y
814,RABOOT,raboot,Y,,Y
815,CINDERACE,cinderace,Y,,Y
816,SOBBLE,sobble,Y,,Y
817,DRIZZILE,drizzile,Y,,Y
818,INTELEON,inteleon,Y,,Y
819,SKWOVET,skwovet,Y,,Y
820,GREEDENT,greedent,Y,,Y
821,ROOKIDEE,rookidee,Y,,Y
822,CORVISQUIRE,corvisquire,Y,,Y
823,CORVIKNIGHT,corviknight,Y,,Y
824,BLIPBUG,blipbug,,,Y
825,DOTTLER,dottler,,,Y
826,ORBEETLE,orbeetle,,,Y
827,NICKIT,nickit,Y,,Y
828,THIEVUL,thievul,Y,,Y
829,GOSSIFLEUR,gossifleur,,,Y
830,ELDEGOSS,eldegoss,,,Y
831,WOOLOO,wooloo,Y,,Y
832,DUBWOOL,dubwool,Y,,Y
833,CHEWTLE,chewtle,,,Y
834,DREDNAW,drednaw,,,Y
835,YAMPER,yamper,,,Y
836,BOLTUND,boltund,,,Y
837,ROLYCOLY,rolycoly,,,Y
838,CARKOL,carkol,,,Y
839,COALOSSAL,coalossal,,,Y
840,APPLIN,applin,,,Y
841,FLAPPLE,flapple,,,Y
842,APPLETUN,appletun,,,Y
843,SILICOBRA,silicobra,,,Y
844,SANDACONDA,sandaconda,,,Y
845,CRAMORANT,cramorant,,,Y
846,ARROKUDA,arrokuda,,,Y
847,BARRASKEWDA,barraskewda,,,Y
848,TOXEL,toxel,,,Y
849,TOXTRICITY,toxtricity,,,Y
850,SIZZLIPEDE,sizzlipede,,,Y
851,CENTISKORCH,centiskorch,,,Y
852,CLOBBOPUS,clobbopus,,,Y
853,GRAPPLOCT,grapploct,,,Y
854,SINISTEA,sinistea,,,Y
855,POLTEAGEIST,polteageist,,,Y
856,HATENNA,hatenna,,,Y
857,HATTREM,hattrem,,,Y
858,HATTERENE,hatterene,,,Y
859,IMPIDIMP,impidimp,,,Y
860,MORGREM,morgrem,,,Y
861,GRIMMSNARL,grimmsnarl,Y,,Y
862,OBSTAGOON,obstagoon,Y,,Y
863,PERRSERKER,perrserker,Y,,Y
864,CURSOLA,cursola,Y,,Y
865,SIRFETCH'D,sirfetch'd,,,Y
866,MR. RIME,mr. rime,Y,,Y
867,RUNERIGUS,runerigus,,,Y
868,MILCERY,milcery,,,Y
869,ALCREMIE,alcremie,,,Y
870,FALINKS,falinks,Y,,Y
871,PINCURCHIN,pincurchin,,,Y
872,SNOM,snom,,,Y
873,FROSMOTH,frosmoth,,,Y
874,STONJOURNER,stonjourner,,,Y
875,EISCUE,eiscue,,,Y
876,INDEEDEE,indeedee,,,Y
877,MORPEKO,morpeko,,,Y
878,CUFANT,cufant,,,Y
879,COPPERAJAH,copperajah,,,Y
880,DRACOZOLT,dracozolt,,,Y
881,ARCTOZOLT,arctozolt,,,Y
882,DRACOVISH,dracovish,,,Y
883,ARCTOVISH,arctovish,,,Y
884,DURALUDON,duraludon,,,Y
885,DREEPY,dreepy,,,Y
886,DRAKLOAK,drakloak,,,Y
887,DRAGAPULT,dragapult,,,Y
888,ZACIAN,zacian,Y,,Y
889,ZAMAZENTA,zamazenta,Y,,Y
890,ETERNATUS,eternatus,,,Y
891,KUBFU,kubfu,,,Y
892,URSHIFU,urshifu,,,Y
893,ZARUDE,zarude,,,Y
894,REGIELEKI,regieleki,,,Y
895,REGIDRAGO,regidrago,,,Y
896,GLASTRIER,glastrier,,,Y
897,SPECTRIER,spectrier,,,Y
898,CALYREX,calyrex,,,Y
899,WYRDEER,wyrdeer,,,Y
900,KLEAVOR,kleavor,,,Y
901,URSALUNA,ursaluna,,,Y
902,BASCULEGION,basculegion,,,Y
903,SNEASLER,sneasler,,,Y
904,OVERQWIL,overqwil,,,Y
905,ENAMORUS,enamorus,,,Y
906,SPRIGATITO,sprigatito,Y,,Y
907,FLORAGATO,floragato,Y,,Y
908,MEOWSCARADA,meowscarada,Y,,Y
909,FUECOCO,fuecoco,Y,,Y
910,CROCALOR,crocalor,Y,,Y
911,SKELEDIRGE,skeledirge,Y,,Y
912,QUAXLY,quaxly,Y,,Y
913,QUAXWELL,quaxwell,Y,,Y
914,QUAQUAVAL,quaquaval,Y,,Y
915,LECHONK,lechonk,Y,,Y
916,OINKOLOGNE,oinkologne,Y,,Y
917,TAROUNTULA,tarountula,,,Y
918,SPIDOPS,spidops,,,Y
919,NYMBLE,nymble,,,Y
920,LOKIX,lokix,,,Y
921,PAWMI,pawmi,Y,,Y
922,PAWMO,pawmo,Y,,Y
923,PAWMOT,pawmot,Y,,Y
924,TANDEMAUS,tandemaus,,,Y
925,MAUSHOLD,maushold,,,Y
926,FIDOUGH,fidough,,,Y
927,DACHSBUN,dachsbun,,,Y
928,SMOLIV,smoliv,Y,,Y
929,DOLLIV,dolliv,Y,,Y
930,ARBOLIVA,arboliva,Y,,Y
931,SQUAWKABILLY,squawkabilly,,,Y
932,NACLI,nacli,,,Y
933,NACLSTACK,naclstack,,,Y
934,GARGANACL,garganacl,,,Y
935,CHARCADET,charcadet,,,Y
936,ARMAROUGE,armarouge,,,Y
937,CERULEDGE,ceruledge,,,Y
938,TADBULB,tadbulb,Y,,Y
939,BELLIBOLT,bellibolt,Y,,Y
940,WATTREL,wattrel,,,Y
941,KILOWATTREL,kilowattrel,,,Y
942,MASCHIFF,maschiff,,,Y
943,MABOSSTIFF,mabosstiff,,,Y
944,SHROODLE,shroodle,,,Y
945,GRAFAIAI,grafaiai,,,Y
946,BRAMBLIN,bramblin,,,Y
947,BRAMBLEGHAST,brambleghast,,,Y
948,TOEDSCOOL,toedscool,,,Y
949,TOEDSCRUEL,toedscruel,,,Y
950,KLAWF,klawf,,,Y
951,CAPSAKID,capsakid,,,Y
952,SCOVILLAIN,scovillain,,,Y
953,RELLOR,rellor,,,Y
954,RABSCA,rabsca,,,Y
955,FLITTLE,flittle,,,Y
956,ESPATHRA,espathra,,,Y
957,TINKATINK,tinkatink,Y,,Y
958,TINKATUFF,tinkatuff,Y,,Y
959,TINKATON,tinkaton,Y,,Y
960,WIGLETT,wiglett,,,Y
961,WUGTRIO,wugtrio,,,Y
962,BOMBIRDIER,bombirdier,,,Y
963,FINIZEN,finizen,,,Y
964,PALAFIN,palafin,,,Y
965,VAROOM,varoom,,,Y
966,REVAVROOM,revavroom,,,Y
967,CYCLIZAR,cyclizar,,,Y
968,ORTHWORM,orthworm,,,Y
969,GLIMMET,glimmet,,,Y
970,GLIMMORA,glimmora,,,Y
971,GREAVARD,greavard,,,Y
972,HOUNDSTONE,houndstone,,,Y
973,FLAMIGO,flamigo,,,Y
974,CETODDLE,cetoddle,,,Y
975,CETITAN,cetitan,,,Y
976,VELUZA,veluza,,,Y
977,DONDOZO,dondozo,,,Y
978,TATSUGIRI,tatsugiri,,,Y
979,ANNIHILAPE,annihilape,Y,,Y
980,CLODSIRE,clodsire,Y,,Y
981,FARIGIRAF,farigiraf,,,Y
982,DUDUNSPARCE,dudunsparce,Y,,Y
983,KINGAMBIT,kingambit,Y,,Y
984,GREAT TUSK,great tusk,,,Y
985,SCREAM TAIL,scream tail,,,Y
986,BRUTE BONNET,brute bonnet,,,Y
987,FLUTTER MANE,flutter mane,,,Y
988,SLITHER WING,slither wing,,,Y
989,SANDY SHOCKS,sandy shocks,,,Y
990,IRON TREADS,iron treads,,,Y
991,IRON BUNDLE,iron bundle,,,Y
992,IRON HANDS,iron hands,,,Y
993,IRON JUGULIS,iron jugulis,,,Y
994,IRON MOTH,iron moth,,,Y
995,IRON THORNS,iron thorns,,,Y
996,FRIGIBAX,frigibax,Y,,Y
997,ARCTIBAX,arctibax,Y,,Y
998,BAXCALIBUR,baxcalibur,Y,,Y
999,GIMMIGHOUL,gimmighoul,,,Y
1000,GHOLDENGO,gholdengo,,,Y
1001,WO-CHIEN,wo-chien,,,Y
1002,CHIEN-PAO,chien-pao,,,Y
1003,TING-LU,ting-lu,,,Y
1004,CHI-YU,chi-yu,,,Y
1005,ROARING MOON,roaring moon,,,Y
1006,IRON VALIANT,iron valiant,,,Y
1007,KORAIDON,koraidon,,,Y
1008,MIRAIDON,miraidon,,,Y
1009,WALKING WAKE,walking wake,,,Y
1010,IRON LEAVES,iron leaves,,,Y
1011,DIPPLIN,dipplin,,,Y
1012,POLTCHAGEIST,poltchageist,,,Y
1013,SINISTCHA,sinistcha,,,Y
1014,OKIDOGI,okidogi,,,Y
1015,MUNKIDORI,munkidori,,,Y
1016,FEZANDIPITI,fezandipiti,,,Y
1017,OGERPON,ogerpon,,,Y
1018,ARCHALUDON,archaludon,,,Y
1019,HYDRAPPLE,hydrapple,,,Y
1020,GOUGING FIRE,gouging fire,,,Y
1021,RAGING BOLT,raging bolt,,,Y
1022,IRON BOULDER,iron boulder,,,Y
1023,IRON CROWN,iron crown,,,Y
1024,TERAPAGOS,terapagos,,,Y
1025,PECHARUNT,pecharunt,,,Y
